Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Tags
18.110.64,False,True,444,American Decorative Arts,Bedstead,Bedstead,American,,,,,Maker|Maker|Decorator|Decorator|Decorator,Possibly by|Cornice attributed to|Painting attributed to|Carving attributed to|Carving attibuted to,Thomas Seymour|John Doggett|John Ritto Penniman|Samuel McIntire|Thomas Wightman,"1771–1848|1780–1857|American, Milford, Massachusetts 1782–1841 Baltimore, Maryland|1757–1811|American, active 1802–20 (?)",,"Seymour, Thomas|Doggett, John|Penniman, John Ritto|McIntire, Samuel|Wightman, Thomas",American|American,1771      |1780      |1782      |1757      |1802,1848      |1857      |1841      |1811      |1802,1810–15,1810,1815,"Mahogany, mahogany veneer, mahoganized maple and white pine, painted and gilded wood	",106 3/4 x 58 5/8 x 79 1/2 in. (271.1 x 148.9 x 201.9 cm),"John Stewart Kennedy Fund, 1918",Made in,Boston,,,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/444,2019-07-31T03:00:40.447Z,
1993.343.1,False,False,2904,American Decorative Arts,"Painting, miniature",Lover's Eye,American,,,,,Artist|Artist,After,Emily Drayton Taylor|Edward Greene Malbone,1860–1952|1777–1807,,"Taylor, Emily Drayton|Malbone, Edward Greene",,1860      |1777,1952      |1807,ca. 1930,1927,1930,Watercolor on ivory,Diam. 3/4 in. (4.4 cm),"Gift of Estate of Drayton Cochran, 1993",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/2904,2019-07-31T03:00:40.447Z,Eyes
1993.343.2,False,False,2905,American Decorative Arts,"Painting, miniature",Eye of Maria Miles Hayward,American,,,,,Artist|Artist,After,Edward Greene Malbone|Emily Drayton Taylor,1777–1807|1860–1952,,"Malbone, Edward Greene|Taylor, Emily Drayton",,1777      |1860,1807      |1952,ca. 1930,1927,1930,Watercolor on ivory,Diam. 3/4 in. (4.4 cm),"Gift of Estate of Drayton Cochran, 1993",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/2905,2019-07-31T03:00:40.447Z,Eyes|Women
83.2.107,False,True,3970,American Decorative Arts,Painting,Plaque of George Washington,,,,,,Artist,After,Gilbert Stuart,"American, North Kingston, Rhode Island 1755–1828 Boston, Massachusetts",,"Stuart, Gilbert",American,1755,1828,1776–1830,1776,1830,Painted glass,8 x 5 3/8 in. (20.3 x 13.7 cm),"Gift of William H. Huntington, 1883",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/3970,2019-02-01T10:50:49.477Z,George Washington|Portraits
1996.102,True,False,5223,American Decorative Arts,Painting,Apple Blossoms,American,,,,,Artist,,Charles Caryl Coleman,"American, Buffalo, New York 1840–1928 Capri, Italy",,"Coleman, Charles Caryl",American,1840,1928,1889,1889,1889,Oil on canvas,62 3/8 x 35 in. (158.4 x 88.9 cm),"Barbara and John Robinson Fund and Marguerite and Frank A. Cosgrove Jr. Fund, 1996",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/5223,2019-07-26T03:00:41.71Z,Still Life|Flowers
1996.348,False,True,7499,American Decorative Arts,Painting,Janet Halleck Drake,American,,,,,Artist,,Henry Inman,"American, Utica, New York 1801–1846 New York",,"Inman, Henry",American,1801,1846,1825,1825,1825,Oil on canvas,29 3/4 x 24 3/4 in. (75.6 x 62.9 cm),"Purchase, Gift of Edgar William and Bernice Chrylser Garbisch, by exchange, 1996",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/7499,2019-08-31T04:41:15.713Z,Girls|Portraits
66.73,False,True,10028,American Decorative Arts,Painting,Orange Branch,American,,,,,Former Attribution,Formerly attributed to,John La Farge,"American, New York 1835–1910 Providence, Rhode Island",,"La Farge, John",American,1835,1910,ca. 1883,1880,1883,Oil on canvas,54 5/8 x 11 5/8 in. (138.4 x 29.5 cm),"Gift of J. William Middendorf II, 1966",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10028,2019-08-31T04:41:15.713Z,Fruit|Leaves
67.187.138,False,True,10035,American Decorative Arts,Painting,Pasture at Evening,American,,,,,Former Attribution,Formerly attributed to,Albert Pinkham Ryder,"American, New Bedford, Massachusetts 1847–1917 Elmhurst, New York",,"Ryder, Albert Pinkham",American,1847,1917,1912–32,1913,1931,Oil on canvas,12 x 16 in. (30.5 x 40.6 cm),"Bequest of Miss Adelaide Milton de Groot (1876–1967), 1967",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10035,2019-02-01T10:50:49.477Z,Animals|Pastoral|Trees|Evening
13.14,False,True,10049,American Decorative Arts,Painting,"""King Lear,"" Act I, Scene I",American,,,,,Artist,,Edwin Austin Abbey,"American, Philadelphia, Pennsylvania 1852–1911 London",,"Abbey, Edwin Austin",American,1852,1911,1898,1898,1898,Oil on canvas,54 1/4 x 127 1/4 in. (137.8 x 323.2 cm),"Gift of George A. Hearn, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10049,2019-02-01T10:50:49.477Z,Kings|Shakespeare|Men|Women|Dogs
1972.263.5,False,True,10061,American Decorative Arts,Painting,"Leete Farm, West Claremont, New Hampshire",American,,,,,Artist,Attributed to,Francis Alexander,1800–1880,,"Alexander, Francis",,1800,1880,ca. 1822,1819,1822,Oil on canvas,17 x 27 1/4 in. (43.2 x 69.2 cm),"Gift of Edgar William and Bernice Chrysler Garbisch, 1972",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10061,2019-02-01T10:50:49.477Z,Houses|Farms|Men|Cows|Hills
39.46,False,True,10062,American Decorative Arts,Painting,In the Laboratory,American,,,,,Artist,,Henry Alexander,1860–1894,,"Alexander, Henry",,1860,1894,ca. 1885–87,1882,1887,Oil on canvas,36 x 30 in. (91.4 x 76.2 cm),"The Alfred N. Punnett Endowment Fund, 1939",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10062,2019-07-31T03:00:40.447Z,Interiors|Men|Portraits|Chemistry|Working
64.117,False,True,10063,American Decorative Arts,Painting,Geraldine Russell,American,,,,,Artist,,John White Alexander,"American, Allegheny, Pennsylvania 1856–1915 New York",,"Alexander, John White",,1856,1915,1902 or 1903,1902,1903,Oil on canvas,60 1/4 x 35 7/8 in. (153 x 91.1 cm),"Gift of Charles H. Russell, 1964",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10063,2019-02-01T10:50:49.477Z,Girls|Flowers
1980.224,False,True,10065,American Decorative Arts,Painting,Repose,American,,,,,Artist,,John White Alexander,"American, Allegheny, Pennsylvania 1856–1915 New York",,"Alexander, John White",,1856,1915,1895,1895,1895,Oil on canvas,52 1/4 x 63 5/8 in. (132.7 x 161.6 cm),"Anonymous Gift, 1980",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10065,2019-07-31T03:00:40.447Z,Women
12.9,False,True,10066,American Decorative Arts,Painting,The Ring,American,,,,,Artist,,John White Alexander,"American, Allegheny, Pennsylvania 1856–1915 New York",,"Alexander, John White",,1856,1915,1911,1911,1911,Oil on canvas,48 3/4 x 36 3/8 in. (123.8 x 92.4 cm),"Gift of Mary Hearn Greims, in memory of Arthur Hoppock Hearn, 1912",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10066,2019-07-31T03:00:40.447Z,Women
08.139.1,False,True,10067,American Decorative Arts,Painting,Study in Black and Green,American,,,,,Artist,,John White Alexander,"American, Allegheny, Pennsylvania 1856–1915 New York",,"Alexander, John White",,1856,1915,by 1906,1905,1906,Oil on canvas,50 x 40 1/8 in. (127 x 101.9 cm),"George A. Hearn Fund, 1908",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10067,2019-02-01T10:50:49.477Z,Portraits|Women
91.18,False,True,10068,American Decorative Arts,Painting,Walt Whitman,American,,,,,Artist,,John White Alexander,"American, Allegheny, Pennsylvania 1856–1915 New York",,"Alexander, John White",,1856,1915,1889,1889,1889,Oil on canvas,50 x 40 in. (127 x 101.6 cm),"Gift of Mrs. Jeremiah Milbank, 1891",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10068,2019-02-01T10:50:49.477Z,Men|Portraits
