Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Tags
83.2.105,False,True,5896,American Decorative Arts,Painting,Plaque of George Washington,,,,,,,,,,,,,,,1770–1800,1770,1800,Enamel,1 3/4 x 1 3/8 in. (4.4 x 3.5 cm),"Gift of William H. Huntington, 1883",Made in,,,,England,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/5896,2019-02-01T10:50:49.477Z,George Washington|Profiles
55.202,False,True,10164,American Decorative Arts,"Painting, miniature",Bishop William White,American,,,,,Artist,,William Russell Birch,"American (born England), Warwick 1755–1834 Philadelphia, Pennsylvania",,"Birch, William Russell",American,1755      ,1834      ,ca. 1830,1825,1825,Enamel on copper,1 1/4 x 1 1/8 in. (3.3 x 2.6 cm),"Gift of Harry G. Friedman, 1955",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10164,2019-02-01T10:50:49.477Z,Men|Portraits
1985.141.12,False,True,10165,American Decorative Arts,"Painting, miniature",Brock Livingston Delaplaine,American,,,,,Artist,,William Russell Birch,"American (born England), Warwick 1755–1834 Philadelphia, Pennsylvania",,"Birch, William Russell",American,1755      ,1834      ,1817,1817,1817,Enamel on copper,Sight: 3 x 2 1/2 in. (7.6 x 6.4 cm),"Maria DeWitt Jesup Fund, 1985",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10165,2019-02-01T10:50:49.477Z,Boys|Portraits
95.14.116,False,True,10166,American Decorative Arts,"Painting, miniature",Daniel Webster,American,,,,,Artist,,William Russell Birch,"American (born England), Warwick 1755–1834 Philadelphia, Pennsylvania",,"Birch, William Russell",American,1755      ,1834      ,after 1833,1822,1832,Enamel on copper,Sight: 1 5/16 x 1 1/16 in. (3.3 x 2.7 cm),"The Moses Lazarus Collection, Gift of Josephine and Sarah Lazarus, in memory of their father, 1888-95",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10166,2019-02-01T10:50:49.477Z,Men|Portraits
28.209.1,False,True,10167,American Decorative Arts,"Painting, miniature",Mary Birch,American,,,,,Artist,,William Russell Birch,"American (born England), Warwick 1755–1834 Philadelphia, Pennsylvania",,"Birch, William Russell",American,1755      ,1834      ,1785,1785,1785,Enamel on copper,1 5/8 x 1 3/8 in. (4.1 x 3.5 cm),"The Alfred N. Punnett Endowment Fund, 1928",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10167,2019-02-01T10:50:49.477Z,Portraits|Women
27.217,False,True,10217,American Decorative Arts,"Painting, miniature",Captain Graham,Scottish,,,,,Artist,,Andrew Robertson,"British, Aberdeen, Scotland 1777–1845 London",,"Robertson, Andrew","British, Scottish",1777      ,1845      ,ca. 1805,1805,1805,Watercolor on ivory,Sight: 2 7/16 x 2 in. (6.2 x 5.1 cm),"Rogers Fund, 1927",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10217,2019-02-01T10:50:49.477Z,Men|Portraits
1985.141.4,False,True,10218,American Decorative Arts,"Painting, miniature",Carolyn Mishner,American,,,,,Artist,,Hugh Bridport,"American (born England), London 1794–ca. 1868 Philadelphia, Pennsylvania",,"Bridport, Hugh","American, born England",1794      ,1875      ,ca. 1825,1822,1825,Watercolor on ivory,2 1/2 x 2 1/16 in. (6.2 x 5.2 cm),"Purchase, Gift of Martin Birnbaum, by exchange, 1985",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10218,2019-07-31T03:00:40.447Z,Portraits|Women
68.107,False,True,10219,American Decorative Arts,"Painting, miniature",Joel Roberts Poinsett,American,,,,,Artist,,Hugh Bridport,"American (born England), London 1794–ca. 1868 Philadelphia, Pennsylvania",,"Bridport, Hugh","American, born England",1794      ,1875      ,1843,1843,1843,Watercolor on ivory,3 7/16 x 2 11/16 in. (8.7 x 6.8 cm),"Rogers Fund, 1968",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10219,2019-02-01T10:50:49.477Z,Men|Portraits
09.26.5,False,True,10239,American Decorative Arts,Painting,Meditation,American,,,,,Artist,,John George Brown,"American (born England), Durham 1831–1913 New York",,"Brown, John George","American, born England",1831      ,1913      ,ca. 1900–1910,1897,1910,Oil on canvas,30 x 25 in. (76.2 x 63.5 cm),"George A. Hearn Fund, 1909",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10239,2019-02-01T10:50:49.477Z,Interiors|Contemplation|Women
21.115.3,False,True,10240,American Decorative Arts,Painting,The Music Lesson,American,,,,,Artist,,John George Brown,"American (born England), Durham 1831–1913 New York",,"Brown, John George","American, born England",1831      ,1913      ,1870,1870,1870,Oil on canvas,24 x 20 in. (61 x 50.8 cm),"Gift of Colonel Charles A. Fowler, 1921",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10240,2019-04-02T03:00:47.7Z,Couples|Men|Women|Music|Flutes|Harps
63.130.2,False,True,10241,American Decorative Arts,Painting,To Decide the Question,American,,,,,Artist,,John George Brown,"American (born England), Durham 1831–1913 New York",,"Brown, John George","American, born England",1831      ,1913      ,1897,1897,1897,Oil on canvas,30 x 40 in. (76.2 x 101.6 cm),"Gift of E. Everett Dickinson Jr., 1963",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10241,2019-02-01T10:50:49.477Z,Men
1995.66,False,True,10421,American Decorative Arts,Painting,The Last Throw,American,,,,,Artist,,Charles Robert Leslie,"British, London 1794–1859 London",,"Leslie, Charles Robert",British,1794      ,1859      ,ca. 1840,1837,1840,Oil on canvas,"18 1/2 x 38in. (47 x 96.5cm)
Framed: 32 1/2 x 52 1/2 x 3 1/2 in. (82.6 x 133.4 cm)","Gift of Laura and Philip Sperber, 1995",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10421,2019-02-01T10:50:49.477Z,Men|Women|Dice|Gambling
41.160.405,False,True,10478,American Decorative Arts,Painting,Houqua,American,,,,,Artist|Artist,Style of,George Chinnery|Ester Speakman,"British, London 1774–1852 Macau|American, 1832–1875",,"Chinnery, George|Speakman, Ester",British|American,1774      |1832      ,1852      |1875      ,ca. 1843,1838,1848,Oil on canvas,25 x 18 5/8 in. (63.5 x 46.3 cm),"Bequest of W. Gedney Beatty, 1941",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10478,2019-02-01T10:50:49.477Z,Men|Portraits
65.180,False,True,10591,American Decorative Arts,"Painting, miniature",Benson John Lossing,American,,,,,Artist,,Thomas Seir Cummings,"American (born England), Bath 1804–1894 Hackensack, New Jersey",,"Cummings, Thomas Seir","American, born England",1804      ,1894      ,ca. 1835,1832,1835,Watercolor on ivory,3 27/32 x 2 23/32 in. (9.8 x 6.9 cm),"Rogers Fund, 1965",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10591,2019-02-01T10:50:49.477Z,Men|Portraits
