Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Tags
56.143,False,False,12865,American Decorative Arts,Painting,"Burning of the ""Factories"" in Canton",American,,,,,Artist,,Chinese Painter,,,"Chinese, Painter",,,,19th century,1800,1900,Oil on copper,4 3/4 x 6 3/8 in. (12.1 x 16.2 cm),"Rogers Fund, 1956",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/12865,2019-07-31T03:00:40.447Z,Factories|Fire|Boats
53.179.18,False,True,12902,American Decorative Arts,Painting,Harbor Scene,,,,,,,,,,,,,,,ca. 1790,1787,1790,Oil on glass,25 x 31 5/8 in. (63.5 x 80.3 cm),"Gift of Mrs. Screven Lorillard, 1953",Made in,,,,China,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/12902,2019-02-01T10:50:49.477Z,Docks|Mountains|Landscapes
39.58,False,True,12928,American Decorative Arts,Painting,Liberty,"Chinese, for American market",,,,,Artist,,Chinese Painter,,,"Chinese, Painter",,,,ca. 1800,1797,1800,Oil on glass,22 3/4 x 16 1/4 in. (57.8 x 41.3 cm),"Rogers Fund, 1939",Made in,,,,China,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/12928,2019-02-01T10:50:49.477Z,Birds|Women
64.309.6,False,True,12965,American Decorative Arts,Painting,Pater Patriae,"Chinese, for American market",,,,,,,,,,,,,,ca. 1800,1797,1800,Oil on glass,14 1/4 x 10 1/4 in. (36.2 x 26 cm),"Gift of Edgar William and Bernice Chrysler Garbisch, 1964",Made in,,,,China,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/12965,2019-02-01T10:50:49.477Z,Arrows|Shields|Garlands|George Washington|Angels
26.108.1,False,True,12966,American Decorative Arts,Painting,Perry's Victory,,,,,,,,,,,,,,,1813–30,1813,1830,Oil on glass,11 1/2 x 16 1/4 in. (29.2 x 41.3 cm),"Rogers Fund, 1926",Made in,,,,China,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/12966,2019-02-01T10:50:49.477Z,Ships
66.109,False,False,12987,American Decorative Arts,"Painting, miniature",Portrait of Houqua,Chinese,,,,,Artist,,Tingqua,,,Tingqua ,,,9999      ,ca. 1840s,1837,1840,Watercolor on ivory,6 3/4 x 4 1/2 in. (17.1 x 11.4 cm),"Gift of Mrs. John de Peyster Douw, 1966",Made in,,,,China,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/12987,2019-02-01T10:50:49.477Z,Men|Portraits
41.14,False,True,13003,American Decorative Arts,Painting,"The Ship ""John W. Brewer""",American,,,,,Artist,,Chinese Painter,,,"Chinese, Painter",,,,ca. 1845,1842,1845,Oil on canvas,25 x 35 in. (63.5 x 88.9 cm),"Rogers Fund, 1941",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/13003,2019-02-01T10:50:49.477Z,Seas|Ships
26.108.2,False,True,13014,American Decorative Arts,Painting,United States and Macedonian,,,,,,,,,,,,,,,1812–30,1812,1830,Oil on glass,11 1/2 x 16 1/4 in. (29.2 x 41.3 cm),"Rogers Fund, 1926",Made in,,,,China,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/13014,2019-07-31T03:00:40.447Z,Ships
53.179.19,False,True,13020,American Decorative Arts,Painting,View of the Harbor at Canton,,,,,,,,,,,,,,,ca. 1790,1787,1790,Oil on glass,24 13/16 x 31 3/4 in. (63 x 80.6 cm),"Gift of Mrs. Screven Lorillard, 1953",Made in,,,,China,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/13020,2019-02-01T10:50:49.477Z,Buildings|Flags|Boats|Ships
30.49.7,False,True,13027,American Decorative Arts,Painting,William Conklin,American,,,,,Artist,,Chinese Painter,,,"Chinese, Painter",,,,ca. 1800,1797,1800,Oil on canvas,23 x 17 1/2 in. (58.4 x 44.5 cm),"Gift of Mrs. W. R. Moore, in memory of Nana Louise Moore, 1930",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/13027,2019-02-01T10:50:49.477Z,Men|Portraits
