Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Tags
83.2.221,False,True,466,American Decorative Arts,Painting,Plaque Portrait of Benjamin Franklin,,,,,,Maker,,Louis Benjamin Huber Defeuille,,,"Defeuille, Louis Benjamin Huber",,,9999      ,1800–1883,1800,1883,Ivory,3 1/4 x 2 5/8 in. (8.3 x 6.7 cm),"Gift of William H. Huntington, 1883",Made in,,,,France,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/466,2019-02-01T10:50:49.477Z,Benjamin Franklin|Men|Portraits
83.2.215,False,False,467,American Decorative Arts,Painting,Plaque Portrait of Benjamin Franklin,,,,,,Artist|Artist,After,Jacques Thouron|Weyller,,,"Thouron, Jacques|Weyller",,,9999      |9999      ,1776–1883,1776,1883,Enamel,2 3/8 x 2 in. (6 x 5.1 cm),"Gift of William H. Huntington, 1883",Made in,,,,France,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/467,2019-02-01T10:50:49.477Z,Benjamin Franklin|Men|Portraits
83.2.216,False,False,468,American Decorative Arts,Painting,Plaque Portrait of Benjamin Franklin,,,,,,Artist,After,Jacques Thouron,,,"Thouron, Jacques",,,9999      ,1776–1883,1776,1883,Ivory,Diam. 3 3/16 in. (8.1 cm),"Gift of William H. Huntington, 1883",Made in,,,,France,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/468,2019-02-01T10:50:49.477Z,Benjamin Franklin|Men|Portraits
83.2.219,False,False,469,American Decorative Arts,Painting,Plaque Portrait of Benjamin Franklin,,,,,,Artist,After,Jacques Thouron,,,"Thouron, Jacques",,,9999      ,1776–1883,1776,1883,Enamel,3 7/8 x 2 7/8 in. (9.8 x 7.3 cm),"Gift of William H. Huntington, 1883",Made in,,,,France,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/469,2019-02-01T10:50:49.477Z,Benjamin Franklin|Men|Portraits
83.2.220,False,True,470,American Decorative Arts,Painting,Plaque Portrait of Benjamin Franklin,,,,,,,,,,,,,,,1776–1883,1776,1883,Probably porcelain,3 x 2 3/8 in. (7.6 x 6 cm),"Gift of William H. Huntington, 1883",Made in,,,,France,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/470,2019-02-01T10:50:49.477Z,Benjamin Franklin|Men|Portraits
83.2.232,False,True,471,American Decorative Arts,Painting,Plaque Portrait of Benjamin Franklin,,,,,,Maker,After,Jean-Baptiste Nini,"Italian, Urbino 1717–1786 Chaumont-sur-Loire",,"Nini, Jean-Baptiste",Italian,1717      ,1786      ,1776–1883,1776,1883,Ivory,2 5/8 x 2 in. (6.7 x 5.1 cm),"Gift of William H. Huntington, 1883",Made in,,,,France,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/471,2019-02-01T10:50:49.477Z,Benjamin Franklin|Men|Portraits
83.2.235,False,True,472,American Decorative Arts,Painting,Portrait of Benjamin Franklin,,,,,,,,,,,,,,,1776–1883,1776,1883,Panel,Diam. 3 1/8 in. (7.9 cm),"Gift of William H. Huntington, 1883",Made in,,,,France,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/472,2019-02-01T10:50:49.477Z,Benjamin Franklin|Men|Portraits
83.2.238,False,True,473,American Decorative Arts,Painting,Plaque Portrait of Benjamin Franklin,,,,,,,,,,,,,,,1776–1883,1776,1883,Ivory,Diam. 2 3/4 in. (7 cm),"Gift of William H. Huntington, 1883",Made in,,,,France,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/473,2019-02-01T10:50:49.477Z,Benjamin Franklin|Men|Portraits
83.2.239,False,True,474,American Decorative Arts,Painting,Plaque Portrait of Benjamin Franklin,,,,,,,,,,,,,,,1776–1883,1776,1883,Oil on cardboard,Diam. 5 1/8 in. (13 cm),"Gift of William H. Huntington, 1883",Made in,,,,France,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/474,2019-02-01T10:50:49.477Z,Benjamin Franklin|Men|Portraits
83.2.234,False,True,482,American Decorative Arts,Painting,Portrait of Benjamin Franklin,,,,,,,,,,,,,,,1776–1883,1776,1883,Oil on wood,5 5/8 x 3 1/2 in. (14.3 x 8.9 cm),"Gift of William H. Huntington, 1883",Made in,,,,France,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/482,2019-02-01T10:50:49.477Z,Benjamin Franklin|Men|Portraits
