Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Tags
67.187.123,True,True,10464,American Decorative Arts,Painting,At the Seaside,American,,,,,Artist,,William Merritt Chase,"American, Williamsburg, Indiana 1849–1916 New York",,"Chase, William Merritt",American,1849      ,1916      ,ca. 1892,1889,1892,Oil on canvas,20 x 34 in. (50.8 x 86.4 cm),"Bequest of Miss Adelaide Milton de Groot (1876–1967), 1967",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10464,2019-02-01T10:50:49.477Z,Human Figures|Beaches|Seascapes
06.969,False,True,10465,American Decorative Arts,Painting,Carmencita,American,,,,,Artist,,William Merritt Chase,"American, Williamsburg, Indiana 1849–1916 New York",,"Chase, William Merritt",American,1849      ,1916      ,1890,1890,1890,Oil on canvas,69 7/8 x 40 7/8 in. ( 177.5 x 103.8 cm),"Gift of Sir William Van Horne, 1906",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10465,2019-02-01T10:50:49.477Z,Women|Dancing|Flowers
1973.342,False,True,10466,American Decorative Arts,Painting,Edward Guthrie Kennedy,American,,,,,Artist,,William Merritt Chase,"American, Williamsburg, Indiana 1849–1916 New York",,"Chase, William Merritt",American,1849      ,1916      ,ca. 1895,1892,1895,Oil on canvas,22 x 17 7/8 in. (55.9 x 45.4 cm),"Gift of Margaret and Raymond J. Horowitz, 1973",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10466,2019-02-01T10:50:49.477Z,Men|Portraits
25.131,False,True,10467,American Decorative Arts,Painting,Fish,American,,,,,Artist,,William Merritt Chase,"American, Williamsburg, Indiana 1849–1916 New York",,"Chase, William Merritt",American,1849      ,1916      ,by 1910,1909,1910,Oil on canvas,29 x 36 in. (73.7 x 91.4 cm),"Gift of Edward G. Kennedy, in memory of William Merritt Chase, 1925",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10467,2019-02-01T10:50:49.477Z,Fish|Still Life
13.90,False,True,10468,American Decorative Arts,Painting,For the Little One,American,,,,,Artist,,William Merritt Chase,"American, Williamsburg, Indiana 1849–1916 New York",,"Chase, William Merritt",American,1849      ,1916      ,ca. 1896,1893,1896,Oil on canvas,40 x 35 1/4 in. (101.6 x 89.5 cm),"Amelia B. Lazarus Fund, by exchange, 1917",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10468,2019-02-01T10:50:49.477Z,Interiors|Women|Sewing
18.22.2,False,True,10469,American Decorative Arts,Painting,James Abbott McNeill Whistler,American,,,,,Artist,,William Merritt Chase,"American, Williamsburg, Indiana 1849–1916 New York",,"Chase, William Merritt",American,1849      ,1916      ,1885,1885,1885,Oil on canvas,74 1/8 x 36 1/4 in. (188.3 x 92.1 cm),"Bequest of William H. Walker, 1918",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10469,2019-02-01T10:50:49.477Z,Men
91.11,False,True,10470,American Decorative Arts,Painting,Lady in Black,American,,,,,Artist,,William Merritt Chase,"American, Williamsburg, Indiana 1849–1916 New York",,"Chase, William Merritt",American,1849      ,1916      ,1888,1888,1888,Oil on canvas,74 1/4 x 36 5/16 in. (188.6 x 92.2 cm),"Gift of William Merritt Chase, 1891",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10470,2019-02-01T10:50:49.477Z,Portraits|Women
63.138.2,False,True,10471,American Decorative Arts,Painting,Mrs. Chase in Prospect Park,American,,,,,Artist,,William Merritt Chase,"American, Williamsburg, Indiana 1849–1916 New York",,"Chase, William Merritt",American,1849      ,1916      ,1886,1886,1886,Oil on panel,13 3/4 x 19 5/8 in. (34.9 x 49.9 cm),"Gift of Chester Dale, 1963",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10471,2019-07-10T04:38:27.403Z,Parks|Women|Lakes|Boats
55.118,False,True,10472,American Decorative Arts,Painting,Bessie Potter,American,,,,,Artist,,William Merritt Chase,"American, Williamsburg, Indiana 1849–1916 New York",,"Chase, William Merritt",American,1849      ,1916      ,ca. 1895,1892,1895,Oil on canvas,32 x 25 5/8 in. (81.3 x 65.1 cm),"Bequest of Bessie Potter Vonnoh Keyes, 1954",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10472,2019-02-01T10:50:49.477Z,Portraits|Women
1979.490.5,False,True,10473,American Decorative Arts,Painting,Pink Azalea—Chinese Vase,American,,,,,Artist,,William Merritt Chase,"American, Williamsburg, Indiana 1849–1916 New York",,"Chase, William Merritt",American,1849      ,1916      ,1880–90 (?),1877,1890,Oil on wood,23 1/2 x 16 9/16 in. (59.7 x 42.1 cm),"Gift of Mrs. J. Augustus Barnard, 1979",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10473,2019-07-26T03:00:41.71Z,Still Life|Flowers|Vases
37.20.1,False,True,10474,American Decorative Arts,Painting,Roland,American,,,,,Artist,,William Merritt Chase,"American, Williamsburg, Indiana 1849–1916 New York",,"Chase, William Merritt",American,1849      ,1916      ,ca. 1902,1899,1902,Oil on canvas,20 3/8 x 16 1/4 in. (51.8 x 41.3 cm),"Bequest of Emma T. Gary, 1934",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10474,2019-02-01T10:50:49.477Z,Boys|Portraits
06.1220,False,True,10475,American Decorative Arts,Painting,Seventeenth Century Lady,American,,,,,Artist,,William Merritt Chase,"American, Williamsburg, Indiana 1849–1916 New York",,"Chase, William Merritt",American,1849      ,1916      ,ca. 1895,1892,1895,Oil on canvas,"36 1/2 x 23 3/4in. (92.7 x 60.3cm)
","George A. Hearn Fund, 1906",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10475,2019-07-31T03:00:40.447Z,Women
08.139.2,False,True,10476,American Decorative Arts,Painting,Still Life: Fish,American,,,,,Artist,,William Merritt Chase,"American, Williamsburg, Indiana 1849–1916 New York",,"Chase, William Merritt",American,1849      ,1916      ,by 1908,1907,1908,Oil on canvas,40 1/8 x 45 1/16 in. (101.9 x 114.5 cm),"George A. Hearn Fund, 1908",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10476,2019-02-01T10:50:49.477Z,Vegetables|Fish|Still Life
23.80.85,False,True,11930,American Decorative Arts,"Painting, miniature","Augustus Vallette Van Horne, Jr.",American,,,,,Artist,,Walter Robertson,"Irish, Dublin ca. 1750–1802 Fatehpur, India",,"Robertson, Walter",Irish,1750      ,1802      ,ca. 1793,1793,1793,"Watercolor on ivory
",Sight: 2 1/8 X 2 in. (6 x 5.1 cm),"Gift of Mr. and Mrs. William A. Moore, 1923",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/11930,2019-02-01T10:50:49.477Z,Men|Portraits
28.169.2,False,True,11931,American Decorative Arts,"Painting, miniature",Mrs. Gabriel Manigault (Margaret Izard),American,,,,,Artist,,Walter Robertson,"Irish, Dublin ca. 1750–1802 Fatehpur, India",,"Robertson, Walter",Irish,1750      ,1802      ,ca. 1795,1792,1795,Watercolor on ivory,2 7/8 x 2 3/8 in. (7.1 x 5.9 cm),"Fletcher Fund, 1928",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/11931,2019-02-01T10:50:49.477Z,Portraits|Women
