Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Tags
54.90.295,False,True,10194,American Decorative Arts,Painting,"Seventh Regiment on Review, Washington Square, New York",American,,,,,Artist,,Otto Boetticher,ca. 1816–after 1864,,"Boetticher, Otto",German,1816      ,1865      ,1851,1851,1851,Oil on canvas,24 x 36 in. (61 x 91.4 cm),"The Edward W. C. Arnold Collection of New York Prints, Maps, and Pictures, Bequest of Edward W. C. Arnold, 1954",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10194,2019-02-01T10:50:49.477Z,Churches|Military|Soldiers|Horse Riding|Trees
54.90.38,False,True,11184,American Decorative Arts,Painting,New York Bay,American,,,,,Artist,,F. G. W. Hunten,,,"Hunten, F. G. W.",German,,,ca. 1850,1847,1850,Oil on canvas,24 x 60 in. (61 x 152.4 cm),"The Edward W. C. Arnold Collection of New York Prints, Maps, and Pictures, Bequest of Edward W. C. Arnold, 1954",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/11184,2019-02-01T10:50:49.477Z,Seas|Waves|Boats|Ships
1982.443.3,False,True,11287,American Decorative Arts,Painting,On to Liberty,American,,,,,Artist,,Theodor Kaufmann,"American (born Germany), Uelzen 1814–1896 New York",,"Kaufmann, Theodor",,1814      ,1896      ,1867,1867,1867,Oil on canvas,36 x 56 in. (91.4 x 142.2 cm),"Gift of Erving and Joyce Wolf, in memory of Diane R. Wolf, 1982",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/11287,2019-07-18T04:43:18.39Z,Children|Men|Women|Slavery
18.116,False,True,11392,American Decorative Arts,Painting,Roses,American,,,,,Artist,,George Cochran Lambdin,"American, Pittsburg, Pennsylvania 1830–1896 Germantown, Pennsylvania",,"Lambdin, George Cochran",American,1830      ,1896      ,1878,1878,1878,Oil on wood,24 x 11 7/8 in. (61 x 30.2 cm),"Gift of Mrs. Manfred P. Welcher, 1918",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/11392,2019-02-01T10:50:49.477Z,Roses|Leaves
1979.490.10,False,True,11393,American Decorative Arts,Painting,Side of a Greenhouse,American,,,,,Artist,,George Cochran Lambdin,"American, Pittsburg, Pennsylvania 1830–1896 Germantown, Pennsylvania",,"Lambdin, George Cochran",American,1830      ,1896      ,1870–80 (?),1867,1880,Oil on canvas,40 x 32 in. (101.6 x 78.7 cm),"Gift of Mrs. J. Augustus Barnard, 1979",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/11393,2019-02-01T10:50:49.477Z,Roses|Plants
97.34,True,True,11417,American Decorative Arts,Painting,Washington Crossing the Delaware,American,,,,,Artist,,Emanuel Leutze,"American, Schwäbisch Gmünd 1816–1868 Washington, D.C.",,"Leutze, Emanuel",German American,1816      ,1868      ,1851,1851,1851,Oil on canvas,149 x 255 in. (378.5 x 647.7 cm),"Gift of John Stewart Kennedy, 1897",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/11417,2019-04-27T03:00:45.603Z,Horses|Flags|Soldiers|American Revolution|George Washington|Men|Boats
03.16,False,True,11418,American Decorative Arts,Painting,Worthington Whittredge,American,,,,,Artist,,Emanuel Leutze,"American, Schwäbisch Gmünd 1816–1868 Washington, D.C.",,"Leutze, Emanuel",German American,1816      ,1868      ,1856,1856,1856,Oil on canvas,50 7/8 x 40 1/2 in. (129.2 x 102.9 cm),"Gift of Several Gentlemen, 1903",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/11418,2019-02-01T10:50:49.477Z,Men|Portraits
54.196.1,False,True,12977,American Decorative Arts,Painting,Portrait of a Man,American,,,,,Artist|Former Attribution,School of|Formerly attributed to,Sir Godfrey Kneller|John Smibert,"German, Lübeck 1646–1723 London|American, Edinburgh, Scotland 1688–1751 Boston, Massachusetts",,"Kneller, Godfrey, Sir|Smibert, John","American, Scottish",1646      |1688      ,1723      |1751      ,ca. 1720–30,1717,1730,Oil on canvas,49 3/4 x 39 3/4 in. (125.2 x 99.8 cm),"Gift of The Chester Dale Collection, 1954",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/12977,2019-02-01T10:50:49.477Z,Men|Portraits
25.108,False,True,12980,American Decorative Arts,Painting,"Portrait of a Woman, Called Maria Taylor Byrd",American,,,,,Artist,School of,Sir Godfrey Kneller,"German, Lübeck 1646–1723 London",,"Kneller, Godfrey, Sir",,1646      ,1723      ,1700–1725,1700,1725,Oil on canvas,49 1/2 x 40 in. (125.7 x 101.6 cm),"Fletcher Fund, 1925",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/12980,2019-02-01T10:50:49.477Z,Portraits|Women
2006.235.287,False,True,15095,American Decorative Arts,"Painting, miniature",Portrait of a Gentleman,American,,,,,Artist,,Emanuel Leutze,"American, Schwäbisch Gmünd 1816–1868 Washington, D.C.",,"Leutze, Emanuel",German American,1816      ,1868      ,ca. 1839,1834,1844,Watercolor on ivory,2 3/4 x 2 3/16 in. (7 x 5.6 cm),"Gift of Gloria Manney, 2006",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/15095,2019-02-01T10:50:49.477Z,Men|Portraits
