Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Tags
67.49,False,True,325879,Ancient Near Eastern Art,Plaque,Plaque,Iran,Iron Age,,,,,,,,,,,,,1st millennium B.C.,-1000,-1,Clay,6.1 x 4.84 in. (15.49 x 12.29 cm),"Gift of Mehdi Mahboubian, 1967",,,,,,Iran,,,,,,Ceramics-Paintings,,http://www.metmuseum.org/art/collection/search/325879,,
Inst.1977.11.1–.95,False,True,442973,Islamic Art,Folios from a non-illustrated manuscript,Folios from a Non-Illustrated Manuscript,,,,,,,,,,,,,,,16th century,1500,1599,"Ink, opaque watercolor, and gold on paper",,"Gift of Adrienne Minassian, 1977",Attributed to,,,,Iran,,,,,,,Codices,,http://www.metmuseum.org/art/collection/search/442973,2019-02-01T10:50:49.477Z,Calligraphy
Inst.1978.13.1–11,False,True,442974,Islamic Art,Folios from a non-illustrated manuscript,Folios from a Non-Illustrated Manuscript,,,,,,,,,,,,,,,16th–17th century,1500,1699,"Ink, opaque watercolor, and gold on paper",,"Gift of Adrienne Minassian, 1978",Attributed to,,,,Iran,,,,,,,Codices,,http://www.metmuseum.org/art/collection/search/442974,,
Inst.1978.13.25–.36,False,False,442975,Islamic Art,Fragments of a bookbinding,Fragments of a Bookbinding,,,,,,,,,,,,,,,17th–19th century,1600,1899,Leather; stamped and gilded,,"Gift of Adrienne Minassian, 1978",Attributed to,,,,Iran or Turkey,,,,,,,Codices,,http://www.metmuseum.org/art/collection/search/442975,,
Inst.1979.3.1–24,False,False,442977,Islamic Art,Folios from a non-illustrated manuscript,Folios from a Non-Illustrated Manuscript,,,,,,,,,,,,,,,17th–19th century,1600,1899,,,"Gift of Adrienne Minassian, 1979",Attributed to,,,,Iran,,,,,,,Codices,,http://www.metmuseum.org/art/collection/search/442977,2019-02-01T10:50:49.477Z,Calligraphy
Inst.1979.11,False,False,442980,Islamic Art,Folio from a non-illustrated manuscript,Shi'ite Hadith,,,,,,,,,,,,,,,dated A.H. 1279/ A.D. 1862–63,1800,1899,Ink on paper,,"Gift of Charles K. Wilkinson, 1979",Attributed to,,,,Iran,,,,,,,Codices,,http://www.metmuseum.org/art/collection/search/442980,2019-02-01T10:50:49.477Z,Arabic|Calligraphy
89.2.2152,False,True,443197,Islamic Art,Section from a non-illustrated manuscript,Anthology of Persian Poetry,,,,,,Poet|Poet|Poet,,Amir Shahi of Sabzavar|Maulana Nur al-Din `Abd al-Rahman Jami|Nasir Khusrau,d. 1453|1414–92|1003–ca. 1066,,Amir Shahi of Sabzavar|Maulana Nur al-Din `Abd al-Rahman Jami|Nasir Khusrau,,1414      |1003      ,1453      |1492      |1066      ,16th century,1500,1599,"Main support: Ink, opaque watercolor, and gold on paper
Binding: Lacquer","H. 8 3/4 in. (22.2 cm)
W. 5 3/4 in. (14.6cm)","Gift of Joseph W. Drexel, 1889",Attributed to,,,,Iran or Turkey,,,,,,,Codices,,http://www.metmuseum.org/art/collection/search/443197,2019-02-01T10:50:49.477Z,Poetry|Books
89.2.2153,False,True,443198,Islamic Art,Non-illustrated manuscript,Anthology of Persian Poetry,,,,,,Author|Author|Author|Author|Author,,Mu’in|Hafiz|Luthfi|Hilali|Asir,1325–90|1367–1463 or 1465–66|d. 1529–30|d. probably 1639–40,,Mu’in|Hafiz|Luthfi|Hilali Badr al-Din|Asir Mirza Jalal al-Din Muhammad b. Mirza Mu'min,,1325      |1367      |1500      |1600      ,1390      |1463      |1530      |1640      ,17th century,1600,1699,"Ink, opaque watercolor and gold on paper
Binding: opaque watercolor and gold on leather","H. 6 in. (15.2 cm)
W. 3 7/8in. (9.8cm)","Gift of Joseph W. Drexel, 1889",Attributed to,,,,Iran,,,,,,,Codices,,http://www.metmuseum.org/art/collection/search/443198,2019-02-16T04:45:18.513Z,Poetry|Books
89.2.2155,False,True,443200,Islamic Art,Non-illustrated manuscript,Qur'an Manuscript,,,,,,,,,,,,,,,probably 14th century,1300,1399,"Ink, opaque watercolor, and gold on paper","H. 2 1/4 in. (5.7 cm)
W. 1 3/4 in. (4.4 cm)","Gift of Joseph W. Drexel, 1889",Made in,,,,Iran,,,,,,,Codices,,http://www.metmuseum.org/art/collection/search/443200,2019-08-22T03:00:43.77Z,Qur'an
89.2.2156,False,True,443201,Islamic Art,Non-illustrated manuscript,Portable Qur’an Manuscript,,,,,,,,,,,,,,,17th century,1600,1699,Ink and gold on paper; leather binding,"H. 1 1/4 in. (3.2 cm)
W. 1 1/4in. (3.2 cm)","Gift of Joseph W. Drexel, 1889",Attributed to,,,,Iran or Turkey,,,,,,,Codices,,http://www.metmuseum.org/art/collection/search/443201,2019-04-19T14:36:02.23Z,Arabic|Qur'an
