Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Tags
83.2.232,False,True,471,American Decorative Arts,Painting,Plaque Portrait of Benjamin Franklin,,,,,,Maker,After,Jean-Baptiste Nini,"Italian, Urbino 1717–1786 Chaumont-sur-Loire",,"Nini, Jean-Baptiste",Italian,1717      ,1786      ,1776–1883,1776,1883,Ivory,2 5/8 x 2 in. (6.7 x 5.1 cm),"Gift of William H. Huntington, 1883",Made in,,,,France,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/471,2019-02-01T10:50:49.477Z,Benjamin Franklin|Men|Portraits
1996.102,True,False,5223,American Decorative Arts,Painting,Apple Blossoms,American,,,,,Artist,,Charles Caryl Coleman,"American, Buffalo, New York 1840–1928 Capri, Italy",,"Coleman, Charles Caryl",American,1840      ,1928      ,1889,1889,1889,Oil on canvas,62 3/8 x 35 in. (158.4 x 88.9 cm),"Barbara and John Robinson Fund and Marguerite and Frank A. Cosgrove Jr. Fund, 1996",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/5223,2019-07-26T03:00:41.71Z,Still Life|Flowers
2006.235.3,False,True,14995,American Decorative Arts,"Painting, miniature",Thomas Dillard,American,,,,,Artist,,Jean Christophe Alexandre,active 1834–1839,,"Alexandre, Jean Christophe",,1786      ,1886      ,1834,1834,1834,Watercolor on ivory,3 1/8 x 2 9/16 in. (7.9 x 6.5 cm),"Dale T. Johnson Fund, 2006",Made in,,,,Italy,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/14995,2019-02-01T10:50:49.477Z,Men|Portraits
2006.235.2,False,True,14996,American Decorative Arts,"Painting, miniature",Mrs. Thomas Dillard (Matilda Kuhl),American,,,,,Artist,,Jean Christophe Alexandre,active 1834–1839,,"Alexandre, Jean Christophe",,1786      ,1886      ,1834,1834,1834,Watercolor on ivory,3 1/8 x 2 9/16 (7.9 x 6.5 cm),"Dale T. Johnson Fund, 2006",Made in,,,,Italy,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/14996,2019-02-01T10:50:49.477Z,Portraits|Women
2006.235.298,False,True,15075,American Decorative Arts,"Painting, miniature",The Magdalen,American,,,,,Artist|Artist,After,Anne Hall|Guido Reni,"1792–1863|Italian, Bologna 1575–1642 Bologna",,"Hall, Anne|Reni, Guido",American|Italian,1792      |1575      ,1863      |1642      ,ca. 1830,1827,1833,Watercolor on ivory,3 11/16 x 3 3/4 in. (9.4 x 9.5 cm),"Gift of Gloria Manney, 2006",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/15075,2019-04-04T04:52:49.54Z,Portraits|Women|Mary Magdalene
2006.235.110,False,False,15112,American Decorative Arts,"Painting, miniature",Naval Officer,Italian,,,,,Artist,,Medeschini,,,Medeschini ,,,9999      ,ca. 1825,1820,1830,Watercolor on ivory,2 7/8 x 2 5/16 in. (7.2 x 6 cm),"Fletcher Fund, 2006",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/15112,2019-02-01T10:50:49.477Z,Men|Portraits
2006.235.291,False,False,15280,American Decorative Arts,"Painting, miniature",Portrait of a Child,Italian,,,,,Artist,,De Majo,,,De Majo ,,,9999      ,1800–50,1800,1850,Watercolor on ivory,1 11/16 x 1 7/16 in. (4.3 x 3.7 cm),"Gift of Gloria Manney, 2006",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/15280,,
29.158.754,False,True,34019,Arms and Armor,Painting,"Giovanni Battista Rota, Member of the Rota Family of Venice","Italian, Venice",,,,,,,,,,,,,,late 16th century,1550,1600,Oil on canvas,86 1/2 x 53 in. (219.7 x 134.6 cm),"Bashford Dean Memorial Collection, Funds from various donors, 1929",,Venice,,,,,,,,,,Miscellaneous-Paintings & Portraits,,http://www.metmuseum.org/art/collection/search/34019,2019-07-21T03:00:42.11Z,Portraits|Armor|Men
2009.224,False,True,35155,Arms and Armor,Painting,"Guidobaldo II della Rovere, Duke of Urbino (1514–1574), With his  Armor by Filippo Negroli",Italian,,,,,,,,,,,,,,ca. 1580–85,1555,1610,Oil on copper,5 1/2 x 4 in. (14 x 10.2 cm); frame: 7 1/8 x 4 7/8 in. (18.1 x 12.5 cm),"Purchase, Arthur Ochs Sulzberger Gift, 2009",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/35155,2019-02-01T10:50:49.477Z,Men|Portraits
29.158.750,False,True,35655,Arms and Armor,Painting,"Luigi III, Prince of Venosa","Italian, Naples",,,,,,,,,,,,,,second quarter 17th century,1625,1650,Oil on canvas,80 1/2 x 48 in. (204.4 x 121.9 cm),"Bashford Dean Memorial Collection, Funds from various donors, 1929",,Naples,,,,,,,,,,Miscellaneous-Paintings & Portraits,,http://www.metmuseum.org/art/collection/search/35655,2019-07-21T03:00:42.11Z,Portraits|Armor|Men|Horse Riding
1991.134,False,True,44632,Asian Art,Handscroll,清 郎世寧	百駿圖白描稿 卷|One Hundred Horses,China,Qing dynasty (1644–1911),,,,Artist,,Giuseppe Castiglione,"Italian, Milan 1688–1766 Beijing",,"Castiglione, Giuseppe",Italian,1688      ,1766      ,datable to 1723–25,1723,1725,Handscroll; ink on paper,"Image: 37 in. x 25 ft. 10 3/4 in. (94 x 789.3 cm)
Overall with mounting: H. 38 1/2 in. (97.8 cm)","Purchase, Friends of Asian Art Gifts, 1991",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/44632,2019-02-01T10:50:49.477Z,Horses
29.100.513,False,True,48907,Asian Art,Painting,,Japan,Edo period (1615–1868),,,,Artist|Artist,Attributed to|In the Style of,Tsukioka Sessai|Giuseppe Castiglione,"Japanese, 1761–1839|Italian, Milan 1688–1766 Beijing",,"Tsukioka Sessai|Castiglione, Giuseppe",Italian,1761      |1688      ,1839      |1766      ,19th century,1800,1839,Framed painting; ink and color on silk,35 3/4 x 27 in. (90.8 x 68.6 cm),"H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/48907,2019-02-01T10:50:49.477Z,Portraits|Women|Flowers|Leaves
13.220.120,False,False,51512,Asian Art,Hanging scroll,,China,Ming (1368–1644) or Qing (1644–1911) dynasty,,,,Artist|Artist,In the style of,Unidentified Artist|Giuseppe Castiglione,"Italian, Milan 1688–1766 Beijing",,"Unidentified Artist|Castiglione, Giuseppe",Italian,1688      ,1766      ,,1368,1911,Hanging scroll; ink and color on silk,60 x 31 in. (152.4 x 78.7 cm),"John Stewart Kennedy Fund, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/51512,,
13.220.121,False,True,51513,Asian Art,Hanging scroll,,China,Qing dynasty (1644–1911),,,,Artist|Artist,Formerly Attributed to,Unidentified Artist|Giuseppe Castiglione,"Italian, Milan 1688–1766 Beijing",,"Unidentified Artist|Castiglione, Giuseppe",Italian,1688      ,1766      ,,1644,1911,Hanging scroll,Overall: 24 3/4 x 54 in. (62.9 x 137.2 cm),"John Stewart Kennedy Fund, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/51513,2019-02-01T10:50:49.477Z,Deer|Landscapes|Trees
30.84,False,True,51582,Asian Art,Album leaf,,China,Qing dynasty (1644–1911),,,,Artist|Artist,In the style of,Unidentified Artist|Giuseppe Castiglione,"Italian, Milan 1688–1766 Beijing",,"Unidentified Artist|Castiglione, Giuseppe",Italian,1688      ,1766      ,,1644,1911,Album leaf; color on silk,12 3/4 x 11 1/4 in. (32.4 x 28.6 cm),"Rogers Fund, 1930",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/51582,2019-02-01T10:50:49.477Z,Horses|Landscapes
51.14,False,True,51770,Asian Art,Folding fan,,China,,,,,Artist|Calligrapher,,Giuseppe Castiglione|Wang Yudun,"Italian, Milan 1688–1766 Beijing|Chinese, 1692–1758",,"Castiglione, Giuseppe|Wang Yudun",Italian|Chinese,1688      |1692      ,1766      |1758      ,18th century,1700,1766,Folding fan; ink and color on paper,H. (sticks) 12 1/4 in. (31.1 cm); W. (open) 20 in. (50.8 cm),"Rogers Fund, 1951",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/51770,2019-02-01T10:50:49.477Z,Birds|Fans|Flowers|Leaves
80.3.682,False,True,185933,European Sculpture and Decorative Arts,Painting,Classical design,"Italian, Umbria",,,,,Artist,Attributed to,Giovanni da Udine (Giovanni dei Ricamatori),"Italian, Udine 1487–1564 Rome",,Giovanni da Udine (Giovanni dei Ricamatori),Italian,1487      ,1564      ,15th–16th century,1400,1599,"Oil on wood, chiaroscuro",Overall: 4 1/8 × 46 5/8 in. (10.5 × 118.4 cm),"Gift of Cornelius Vanderbilt, 1880",,,,,,,,,,,,Paintings-Decorative,,http://www.metmuseum.org/art/collection/search/185933,2019-02-01T10:50:49.477Z,Human Figures
80.3.683,False,True,185934,European Sculpture and Decorative Arts,Painting,Classical design,"Italian, Umbria",,,,,Artist,Attributed to,Giovanni da Udine (Giovanni dei Ricamatori),"Italian, Udine 1487–1564 Rome",,Giovanni da Udine (Giovanni dei Ricamatori),Italian,1487      ,1564      ,15th–16th century,1400,1599,"Oil on wood, chiaroscuro",Overall: 4 1/8 × 45 in. (10.5 × 114.3 cm),"Gift of Cornelius Vanderbilt, 1880",,,,,,,,,,,,Paintings-Decorative,,http://www.metmuseum.org/art/collection/search/185934,2019-02-01T10:50:49.477Z,Human Figures
