Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Tags
83.2.248,False,True,486,American Decorative Arts,Painting,Portrait of Benjamin Franklin,,,,,,,,,,,,,,,1776–1883,1776,1883,Canvas,13 3/8 x 10 7/8 in. (34 x 27.6 cm),"Gift of William H. Huntington, 1883",Made in,,,,Japan,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/486,2019-02-01T10:50:49.477Z,Benjamin Franklin|Men|Portraits
83.2.251,False,True,500,American Decorative Arts,Painting,Portrait of Benjamin Franklin,,,,,,,,,,,,,,,1800–1883,1800,1883,Silk,11 3/4 x 10 in. (29.8 x 25.4 cm),"Gift of William H. Huntington, 1883",Made in,,,,Japan,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/500,2019-02-01T10:50:49.477Z,Benjamin Franklin|Portraits
29.100.460,False,True,36040,Asian Art,Hanging scroll,,Japan,,,,,Artist,,Unidentified,,,Unidentified,,,,,1573,1615,Hanging scroll; ink and color on silk,28 1/2 x 22 31/32 in. (72.4 x 58.4 cm),"H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/36040,2019-02-01T10:50:49.477Z,Men|Horses
29.100.945,False,True,36043,Asian Art,Painting,,Japan,Edo period (1615–1868),,,,Artist,In the Style of,Ogawa Haritsu (Ritsuō),"Japanese, 1663–1747",,Ritsuō,Japanese,1663      ,1747      ,18th century,1700,1747,Watercolor on paper,7 1/32 x 10 7/32 in. (17.9 x 26 cm),"H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/36043,2019-02-01T10:50:49.477Z,Birds
59.81,False,True,36083,Asian Art,Album,明清／日本江戶時代   (傳) 陳賢   十六羅漢圖   冊|The Sixteen Luohans,China or Japan,"Ming (1368–1644) or Qing dynasty (1644–1911); or Japan, Edo period (1603–1868)",,,,Artist,Attributed to,Chen Xian,"Chinese, active ca. 1634–77",,Chen Xian,,1634      ,1677      ,spurious date of 1634,1634,1634,Album of sixteen paintings; ink and color on paper,10 1/8 x 11 7/8 in. (25.7 x 30.2 cm),"Gift of Mrs. Eugene Vidal, 1959",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/36083,2019-08-24T04:39:14.843Z,Men|Buddhism
1975.268.16,False,True,36104,Asian Art,Handscroll,大般若経（中尊寺経）|Great Wisdom Sutra from the Chū sonji Temple Sutra Collection (Chūsonjikyō),Japan,Heian period (794–1185),,,,,,,,,,,,,ca. 1175,1165,1185,Handscroll; gold and silver on indigo-dyed paper,10 1/16 in. x 24 ft. 5 13/16 in. (25.6 x 746.3 cm),"The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/36104,2019-04-02T03:00:47.7Z,Bodhisattvas|Buddhism|Buddha
1975.268.138,False,True,36107,Asian Art,Votive painting,優闐王と唐獅子図絵馬「奉掛御宝前 絵馬 寛永丁卯年三月廿五日」|Ema (Votive Painting) of Chinese Lion Led by Utenō,Japan,Edo period (1615–1868),,,,,,,,,,,,,dated 1627,1627,1627,Ink and color on wood,10 3/4 x 14 3/8 in. (27.3 x 36.5 cm),"The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/36107,2019-02-01T10:50:49.477Z,Men|Lions
1975.268.139,False,True,36108,Asian Art,Votive painting,水辺に牡丹と唐獅子図絵馬「寛永八 年末三月廿五日」|Ema (Votive Painting) of a Chinese Lion and Peony Tree by Flowing Water,Japan,Edo period (1615–1868),,,,,,,,,,,,,1631,1631,1631,"Ink, color, and gold leaf on wood",7 3/8 x 9 3/4 in. (18.7 x 24.8 cm),"The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/36108,2019-02-01T10:50:49.477Z,Lions|Trees
1975.268.140,False,True,36109,Asian Art,Votive painting,牡丹に唐獅子図絵馬　「奉掛絵馬慶 安二年三月廿五日」|Ema (Votive Painting) of Chinese Lion and Peony Tree,Japan,Edo period (1615–1868),,,,,,,,,,,,,1649,1649,1649,Ink and color on wood,16 15/16 x 21 3/4 in. (43 x 55.3 cm),"The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/36109,2019-02-01T10:50:49.477Z,Lions|Trees
1975.268.141,False,True,36110,Asian Art,Hanging scroll,青面金剛夜叉図大津絵|Ōtsu-e of Shōmen Kongōyasha (Vajrayaksha),Japan,Muromachi (1392–1573) or Momoyama period (1573–1615),,,,,,,,,,,,,probably late 16th–early 17th century,1567,1633,"Hanging scroll; ink, color, and gold on paper","Image: 28 3/4 x 12 15/16 in. (73 x 32.8 cm)
Overall: 57 1/8 x 20in. (145.1 x 50.8 cm)","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/36110,2019-04-02T03:00:47.7Z,
1975.268.142,False,True,36111,Asian Art,Hanging scroll,金剛夜叉図大津絵|Ōtsu-e of Shōmen Kongōyasha (Vajrayaksha),Japan,Edo period (1615–1868),,,,,,,,,,,,,17th century,1600,1699,"Hanging scroll; ink, color, and hand-colored woodblock print on paper","Image: 23 x 9 1/8 in. (58.4 x 23.2 cm)
Overall: 23 x 11in. (58.4 x 27.9 cm)","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/36111,2019-04-02T03:00:47.7Z,Deities
1975.268.143,False,True,36112,Asian Art,Hanging scroll,十三仏図大津絵|Ōtsu-e of Thirteen Buddhist Deities,Japan,Edo period (1615–1868),,,,,,,,,,,,,17th century,1615,1699,"Hanging scroll; ink, color, and woodblock print on paper","Image: 13 1/4 x 6 7/8 in. (33.7 x 17.5 cm)
Overall: 22 1/2 x 10 7/8 in. (57.2 x 27.6 cm)","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/36112,2019-04-02T03:00:47.7Z,Deities|Buddhism
1975.268.145,False,True,36113,Asian Art,Hanging scroll,白無垢美人図大津絵|Ōtsu-e of Courtesan in White,Japan,Edo period (1615–1868),,,,,,,,,,,,,19th century,1800,1868,Hanging scroll; ink and color on paper,"Image: 22 11/16 x 8 5/8 in. (57.7 x 21.9 cm)
Overall: 51 1/2 x 14in. (130.8 x 35.6 cm)","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/36113,2019-02-01T10:50:49.477Z,Robes|Women
1975.268.146,False,True,36114,Asian Art,Hanging scroll,菖蒲の葉を持つ「野郎」図大津絵|Ōtsu-e of a Youth Holding Irises (Yarō),Japan,Edo period (1615–1868),,,,,,,,,,,,,17th century,1600,1699,Hanging scroll; ink and color on paper,"Image: 24 7/16 x 8 11/16 in. (62 x 22 cm)
Overall: 57 x 15 1/8in. (144.8 x 38.4 cm)","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/36114,2019-02-01T10:50:49.477Z,Men|Actors
1975.268.147,False,True,36115,Asian Art,Hanging scroll,布袋市右衛門図大津絵|Ōtsu-e of Kabuki Actor Playing Hotei Ichiemon,Japan,Edo period (1615–1868),,,,,,,,,,,,,early 18th century,1700,1733,Hanging scroll; hand-colored woodblock print on paper,"Image: 17 15/16 x 8 1/4 in. (45.5 x 21 cm)
Overall: 50 3/8 x 11 1/4in. (128 x 28.6 cm)","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/36115,2019-02-01T10:50:49.477Z,Men|Actors
1975.268.148,False,True,36116,Asian Art,Painting,松に鷹図大津絵|Ōtsu-e of Falcon on a Pine Tree,Japan,Edo period (1615–1868),,,,,,,,,,,,,18th century,1700,1799,Hanging scroll; ink and color on paper,"Image: 24 1/2 in. × 9 in. (62.2 × 22.9 cm)
Overall with mounting: 51 1/2 × 10 in. (130.8 × 25.4 cm)
Overall with knobs: 51 1/2 × 11 7/8 in. (130.8 × 30.2 cm)","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/36116,2019-04-04T04:52:49.54Z,Falcons|Trees
1985.120.2,False,True,36143,Asian Art,Hanging scroll,白衣観音図|White-Robed Kannon,Japan,Nanbokuchō period (1336–92),,,,,,,,,,,,,14th century,1336,1392,Hanging scroll; ink on silk,"Image: 45 3/4 × 20 3/8 in. (116.2 × 51.8 cm)
Overall with mounting: 82 3/4 × 26 1/4 in. (210.2 × 66.7 cm)
Overall with knobs: 82 3/4 × 28 5/8 in. (210.2 × 72.7 cm)","Purchase, Bequest of Dorothy Graham Bennett, Herbert J. Coyne Gift, Seymour Fund and Fletcher Fund, by exchange, 1985",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/36143,2019-07-25T04:42:08.697Z,Bodhisattvas|Waterfalls|Buddhism|Avalokiteshvara
1997.113,False,True,39482,Asian Art,"Hanging scroll
",春日若宮曼荼羅|Mandala of Wakamiya of Kasuga Shrine (Kasuga wakamiya mandara),Japan,Nanbokuchō period (1336–92),,,,,,,,,,,,,early 14th century,1300,1333,"Hanging scroll; ink, color, gold, and cut gold on silk","Image: 29 3/4 in. × 15 in. (75.6 × 38.1 cm)
Overall with mounting: 62 1/2 x 20 1/2 in. (158.8 x 52.1 cm)
Overall with knobs: 62 1/2 x 22 1/2 in. (158.8 x 57.2 cm)","Purchase, Lila Acheson Wallace Gift, 1997, and Gift of the Mary and Jackson Burke Foundation, 2015",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/39482,2019-04-02T03:00:47.7Z,Deities|Swords|Lotuses|Buddhism
1997.140,False,True,39487,Asian Art,Fan mounted as hanging scroll,,Japan,Muromachi period (1392–1573),,,,Artist,Attributed to,Kano Yukinobu,"Japanese, ca. 1513–1575",,Kano Yukinobu,Japanese,1513      ,1575      ,16th century,1500,1573,"Originally a fan mounted as a hanging scroll; ink, color, and silver on gilded paper",9 3/4 x 19 1/2 in. (24.8 x 49.5 cm),"Purchase, Friends of Asian Art Gifts, 1997",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/39487,2019-02-01T10:50:49.477Z,Flowers|Leaves
1996.478,False,True,39611,Asian Art,Sketchbook,,Japan,Meiji period (1868–1912),,,,,,,,,,,,,1895 (?),1868,1912,Ink on mulberry paper,10 1/2 x 7 7/8 in. (26.7 x 20 cm),"Gift of Joseph Veach Noble, 1996",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/39611,2019-02-01T10:50:49.477Z,Birds|Houses|Men|Boats
36.100.86,False,True,39629,Asian Art,Hanging scroll,,Japan,Edo period (1615–1868),,,,Calligrapher|Artist,,Shikitei Sanba|Utagawa Toyokuni I,"Japanese, 1776–1822|Japanese, 1769–1825",,Shikitei Sanba|Utagawa Toyokuni I,Japanese,1776      |1769      ,1822      |1825      ,ca. 1795,1695,1895,Hanging scroll; ink and color on silk,34 3/4 x 10 1/2 in. (88.3 x 26.7 cm),"The Howard Mansfield Collection, Purchase, Rogers Fund, 1936",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/39629,2019-04-02T03:00:47.7Z,Lanterns|Women
36.100.70,False,True,39630,Asian Art,Hanging scroll,,Japan,Edo period (1615–1868),,,,Artist,,Katsukawa Shunshō,"Japanese, 1726–1792",,Katsukawa Shunshō,Japanese,1726      ,1792      ,18th century,1726,1792,Hanging scroll; ink and color on silk,"Image: 44 × 12 in. (111.8 × 30.5 cm)
Overall with mounting: 74 in. × 17 11/16 in. (188 × 44.9 cm)
Overall with knobs: 74 × 17 5/8 in. (188 × 44.8 cm)","The Howard Mansfield Collection, Purchase, Rogers Fund, 1936",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/39630,2019-02-01T10:50:49.477Z,Women|Trees
